State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Uttar Pradesh,AZAMGARH,2000,Kharif     ,Arhar/Tur,9191,8824
Uttar Pradesh,AZAMGARH,2000,Kharif     ,Bajra,133,104
Uttar Pradesh,AZAMGARH,2000,Kharif     ,Groundnut,81,68
Uttar Pradesh,AZAMGARH,2000,Kharif     ,Jowar,12,14
Uttar Pradesh,AZAMGARH,2000,Kharif     ,Maize,7209,11912
Uttar Pradesh,AZAMGARH,2000,Kharif     ,Moong(Green Gram),3,1
Uttar Pradesh,AZAMGARH,2000,Kharif     ,Rice,211031,390953
Uttar Pradesh,AZAMGARH,2000,Kharif     ,Sesamum,45,7
Uttar Pradesh,AZAMGARH,2000,Kharif     ,Small millets,101,76
Uttar Pradesh,AZAMGARH,2000,Kharif     ,Soyabean,1,1
Uttar Pradesh,AZAMGARH,2000,Kharif     ,Urad,178,74
Uttar Pradesh,AZAMGARH,2000,Rabi       ,Barley,4271,7663
Uttar Pradesh,AZAMGARH,2000,Rabi       ,Gram,5825,7383
Uttar Pradesh,AZAMGARH,2000,Rabi       ,Maize,186,302
Uttar Pradesh,AZAMGARH,2000,Rabi       ,Masoor,196,170
Uttar Pradesh,AZAMGARH,2000,Rabi       ,Moong(Green Gram),102,58
Uttar Pradesh,AZAMGARH,2000,Rabi       ,Peas & beans (Pulses),9839,13637
Uttar Pradesh,AZAMGARH,2000,Rabi       ,Rapeseed &Mustard,1056,1057
Uttar Pradesh,AZAMGARH,2000,Rabi       ,Urad,267,123
Uttar Pradesh,AZAMGARH,2000,Rabi       ,Wheat,215453,481708
Uttar Pradesh,AZAMGARH,2000,Whole Year ,Potato,5707,105849
Uttar Pradesh,AZAMGARH,2000,Whole Year ,Sugarcane,22517,955171
Uttar Pradesh,AZAMGARH,2000,Whole Year ,Turmeric,2,3
Uttar Pradesh,AZAMGARH,2001,Kharif     ,Arhar/Tur,9021,11726
Uttar Pradesh,AZAMGARH,2001,Kharif     ,Bajra,120,142
Uttar Pradesh,AZAMGARH,2001,Kharif     ,Groundnut,50,42
Uttar Pradesh,AZAMGARH,2001,Kharif     ,Jowar,2,2
Uttar Pradesh,AZAMGARH,2001,Kharif     ,Maize,7083,12671
Uttar Pradesh,AZAMGARH,2001,Kharif     ,Moong(Green Gram),11,3
Uttar Pradesh,AZAMGARH,2001,Kharif     ,Rice,209614,433548
Uttar Pradesh,AZAMGARH,2001,Kharif     ,Sesamum,43,11
Uttar Pradesh,AZAMGARH,2001,Kharif     ,Small millets,113,87
Uttar Pradesh,AZAMGARH,2001,Kharif     ,Sunflower,1,2
Uttar Pradesh,AZAMGARH,2001,Kharif     ,Urad,185,75
Uttar Pradesh,AZAMGARH,2001,Rabi       ,Barley,4211,6622
Uttar Pradesh,AZAMGARH,2001,Rabi       ,Gram,5358,4985
Uttar Pradesh,AZAMGARH,2001,Rabi       ,Linseed,5,2
